number,value,datetime_start,datetime_complete,duration,params_corner_curvature,params_icp_maximum_iteration,params_livox_min_dis,params_mapping_plane_resolution,params_surface_curvature,system_attrs_cma:generation,system_attrs_cma:n_restarts,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,system_attrs_fixed_params,state
30,0.8183572682902344,2026-07-28 03:25:10.468201,2026-07-28 03:31:33.743893,0 days 00:06:23.275692,0.29999999999999993,5,0.9999999999999999,1.1999999999999997,0.019999999999999997,3.0,0.0,,,,COMPLETE
31,0.8265888063106006,2026-07-28 03:31:34.656430,2026-07-28 03:37:52.075148,0 days 00:06:17.418718,0.29999999999999993,30,0.05,1.1999999999999997,0.019999999999999997,3.0,0.0,,,,COMPLETE
32,999.0,2026-07-28 03:37:53.585894,2026-07-28 03:43:26.472806,0 days 00:05:32.886912,0.02,30,0.05,1.1999999999999997,0.001,3.0,0.0,,,,COMPLETE
33,0.8070029291460312,2026-07-28 03:43:26.942683,2026-07-28 03:52:44.506711,0 days 00:09:17.564028,0.02,30,0.9999999999999999,0.2,0.001,4.0,0.0,800363636d6165732e5f636d610a434d410a7100298171017d71022858060000005f6e5f64696d71034b0558080000005f706f7073697a6571044b0858030000005f6d7571054b0458070000005f6d755f6566667106636e756d70792e636f72652e6d756c746961727261790a7363616c61720a7107636e756d70790a64747970650a7108580200000066387109898887710a52710b284b0358010000003c710c4e4e4e4affffffff4affffffff4b0074710d62430820436f8e2acd0440710e86710f52711058030000005f636371116807680b43084f2d90ce11d0dc3f711286711352711458030000005f633171156807680b430841296f67b236a83f711686711752711858040000005f636d7571196807680b430854afe081e88aa33f711a86711b52711c58080000005f635f7369676d61711d6807680b43084129dea29b5dd73f711e86711f52712058080000005f645f7369676d6171216807680b4308508ab7e866d7f53f712286712352712458030000005f636d71254b0158060000005f6368695f6e71264740010737767cc6e058080000005f776569676874737127636e756d70792e636f72652e6d756c746961727261790a5f7265636f6e7374727563740a7128636e756d70790a6e6461727261790a71294b0085712a430162712b87712c52712d284b014b0885712e680858020000006638712f8988877130527131284b03680c4e4e4e4affffffff4affffffff4b0074713262894340c0fc6f2530f5e03f922449922449d23f912449922449c23f1c7d92cd463fa53fa00c85356a69c5bfa9cba55b603bddbf6af698789f72e6bfa9cba55b603bedbf71337471346258080000005f705f7369676d617135682868294b00857136682b877137527138284b014b05857139680b8943288d6f0c97b2acd5bf493c61972808d73ff4a582a8f47ba4bf89dc0c3440ead8bf5784b3aaf5fa41c0713a74713b6258030000005f7063713c682868294b0085713d682b87713e52713f284b014b05857140680b8943280000000000000000000000000000000000000000000000000000000000000000000000000000000071417471426258050000005f6d65616e7143682868294b00857144682b877145527146284b014b0585714768318943289af54e06800de63f323333333333d33f60160314e056843f323333333333f33f922449922449334071487471496258060000005f7369676d61714a6807680b4308612ef8a90d11f842714b86714c52714d58020000005f44714e4e58020000005f42714f4e58070000005f626f756e64737150682868294b00857151682b877152527153284b014b054b0286715468318943509a9999999999a93f000000000000f03f7b14ae47e17a943f333333333333d33ffca9f1d24d62503f7b14ae4,7e17a943f9a9999999999c93f333333333333f33f00000000000012400000000000803e4071557471566258110000005f6e5f6d61785f726573616d706c696e6771574b3258020000005f6771584b0458050000005f746f6c7871596807680b43084d48ee10d685ec3c715a86715b52715c58070000005f746f6c787570715d4740c388000000000058070000005f746f6c66756e715e473d719799812dea1158100000005f746f6c636f6e646974696f6e636f76715f4742d6bcc41e900000580d0000005f66756e686973745f7465726d71604b1d580f0000005f66756e686973745f76616c7565737161682868294b00857162682b877163527164284b014b3a85716568318942d00100005084243e000000000000000000000000378e531bb847e93f11e4bae35613ef3f619a07a42e6de93f0000000000388f4084f0478d45ecea3f0000000000388f40d1f2e1dab3ffe93f0000000000388f4005000500f670000001000000000000002cad823e000000002ecf423f000000003d0000003d00000017000000510000002b0000000100000000000000060000000b0000002d0000003c0000003d0000003d00000000000000000002000000000078659e3e0000000088e5d23e000000000000000000000000000000000000000018000000000000002ecf423f000000003d0000003d000000000000000000000000000000000000000100000000000000ff01010001000000084a4509f770000078630bf4f6700000f8ed2c09f7700000306795ebf67000000000000000000000000000000000000020fa423f0000000020fa423f0000000080683609f7700000c0dd46d7f670000090f887d8f670000048c046d7f670000090c046d7f6700000a8c046d7f6700000507dd8d8f670000030de46d7f670000068de46d7f670000070f346d7f670000010914909f7700000705446d7f670000050e64809f7700000f03a3909f7700000308e4509f7700000f0854c09f770000070093909f770000071667471676258050000005f635f31647168682868294b00857169682b87716a52716b284b014b0f85716c680b8943781c960160e235f33f293c1d4f4abba8bf76f985837357783f06ac9ac6f1e6ad3f6078bc6188300d40a23bd00fec30f33f6fbbef2e848394bf21a8df8d1574b0bf51da7f37c67f1cc06e1e235f47b1f23fc967a8442d2b933fd5d3b64662ae0e401bb530c99770f33f7ba5abc4dac31940769db01925649040716d74716e6275622e,,COMPLETE
34,999.0,2026-07-28 03:52:46.151530,2026-07-28 03:58:28.863194,0 days 00:05:42.711664,0.02,5,0.9999999999999999,1.1999999999999997,0.019999999999999997,4.0,0.0,,,,COMPLETE
35,2.3918527548518402,2026-07-28 03:58:35.944572,2026-07-28 04:04:01.570220,0 days 00:05:25.625648,0.02,30,0.05,1.1999999999999997,0.019999999999999997,4.0,0.0,,,,COMPLETE
36,999.0,2026-07-28 04:04:01.817388,2026-07-28 04:11:01.878228,0 days 00:07:00.060840,0.29999999999999993,5,0.9999999999999999,1.1999999999999997,0.001,4.0,0.0,,,,COMPLETE
37,0.809983673292824,2026-07-28 04:11:05.967162,2026-07-28 04:18:32.981160,0 days 00:07:27.013998,0.29999999999999993,30,0.9999999999999999,1.1999999999999997,0.001,4.0,0.0,,,,COMPLETE
38,1.0227117128429675,2026-07-28 04:18:33.838043,2026-07-28 04:24:53.494117,0 days 00:06:19.656074,0.29999999999999993,30,0.05,0.2,0.019999999999999997,4.0,0.0,,,,COMPLETE
39,2.4434535217304796,2026-07-28 04:24:54.000643,2026-07-28 04:30:44.421454,0 days 00:05:50.420811,0.02,5,0.05,0.2,0.019999999999999997,4.0,0.0,,,,COMPLETE
