number,value,datetime_start,datetime_complete,duration,params_edgeThreshold,params_groundScanInd,params_nearestFeatureSearchSqDist,params_surfThreshold,system_attrs_cma:generation,system_attrs_cma:n_restarts,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,system_attrs_fixed_params,state
20,0.08431131804013786,2026-07-14 11:53:13.879605,2026-07-14 11:55:30.620829,0 days 00:02:16.741224,0.17545863047596275,7,27,0.06090355349305682,2.0,0.0,,,,COMPLETE
21,0.08523561809134621,2026-07-14 11:55:30.621529,2026-07-14 11:57:44.426240,0 days 00:02:13.804711,0.07230346267755614,9,28,0.1391484441088345,2.0,0.0,,,,COMPLETE
22,0.08508652547126021,2026-07-14 11:57:44.471574,2026-07-14 11:59:57.571701,0 days 00:02:13.100127,0.06540308445911927,7,28,0.2708177988096667,2.0,0.0,,,,COMPLETE
23,0.2407297989253796,2026-07-14 11:59:57.572662,2026-07-14 12:02:11.119661,0 days 00:02:13.546999,0.2563638271983612,9,28,0.03528265438064332,2.0,0.0,,,,COMPLETE
24,0.08000606689666422,2026-07-14 12:02:11.124092,2026-07-14 12:04:33.360354,0 days 00:02:22.236262,0.05199579923303799,7,27,0.13019328360651,2.0,0.0,,,,COMPLETE
25,0.08869478928440383,2026-07-14 12:04:33.421894,2026-07-14 12:06:46.596453,0 days 00:02:13.174559,0.032309994543027194,7,27,0.06738688828954595,3.0,0.0,800363636d6165732e5f636d610a434d410a7100298171017d71022858060000005f6e5f64696d71034b0458080000005f706f7073697a6571044b0858030000005f6d7571054b0458070000005f6d755f6566667106636e756d70792e636f72652e6d756c746961727261790a7363616c61720a7107636e756d70790a64747970650a7108580200000066387109898887710a52710b284b0358010000003c710c4e4e4e4affffffff4affffffff4b0074710d62430820436f8e2acd0440710e86710f52711058030000005f636371116807680b4308000000000000e03f711286711352711458030000005f633171156807680b430862115f01d0aeb03f711686711752711858040000005f636d7571196807680b430815282f55d11faa3f711a86711b52711c58080000005f635f7369676d61711d6807680b430830ce38804161d93f711e86711f52712058080000005f645f7369676d6171216807680b43088c330e605058f63f712286712352712458030000005f636d71254b0158060000005f6368695f6e7126473ffe18618618618658080000005f776569676874737127636e756d70792e636f72652e6d756c746961727261790a5f7265636f6e7374727563740a7128636e756d70790a6e6461727261790a71294b0085712a430162712b87712c52712d284b014b0885712e680858020000006638712f8988877130527131284b03680c4e4e4e4affffffff4affffffff4b0074713262894340c0fc6f2530f5e03f922449922449d23f912449922449c23f1c7d92cd463fa53fcb8b860adec6c5bf6f2cafd2f5baddbfd4e62ed098d4e6bf6f2cafd2f5baedbf71337471346258080000005f705f7369676d617135682868294b00857136682b877137527138284b014b04857139680b8943200039f4fa21a6ff3fba714b7f6efde8bf9b92c806a642e0bfb81fa5cf1dede93f713a74713b6258030000005f7063713c682868294b0085713d682b87713e52713f284b014b04857140680b894320291603ed267cf4bf0f4efda79c27d3bf61302d2a7c26cdbf88ba4351362e11c071417471426258050000005f6d65616e7143682868294b00857144682b877145527146284b014b0485714768318943202549922449921c409b6099d0c391b73f64a6ce82cdc6bb3ff536425a0de63a4071487471496258060000005f7369676d61714a6807680b4308804e49657459d53f714b86714c52714d58020000005f44714e4e58020000005f42714f4e58070000005f626f756e64737150682868294b00857151682b877152527153284b014b044b028671546831894340000000000000044000000000000029407b14ae47e17a943f333333333333d33f7b14ae47e17a943f333333333333d33f000000000000124000000000004049407155747,1566258110000005f6e5f6d61785f726573616d706c696e6771574b2858020000005f6771584b0358050000005f746f6c7871596807680b4308895d111d60452a3d715a86715b52715c58070000005f746f6c787570715d4740c388000000000058070000005f746f6c66756e715e473d719799812dea1158100000005f746f6c636f6e646974696f6e636f76715f4742d6bcc41e900000580d0000005f66756e686973745f7465726d71604b19580f0000005f66756e686973745f76616c7565737161682868294b00857162682b877163527164284b014b32857165683189429001000060fc530600000000000000000000000021f3095545f1b33fbd3fe2a51354d53ffda2e2bf28d9b33fc87f06dcd970c53fbf81cd10477bb43f1051c7ea3bd0ce3f010000002907da046e64696d722d000000723900000072410000007215000000da03646f74723a0000002903721f000000722d000000da0178722400000072240000007225000000da0a5f63616c6c5f696d706cb6000000730800000000010a01180222027a1b4c736f646144656e73654f75747075742e5f63616c6c5f696d706c2906723c000000723d000000723e000000721300000072450000007240000000722400000072240000002901722300000072250000007237000000af000000730400000008010c067237000000290d5a056e756d707972150000005a0f73636970792e696e746567726174657202000000da06636f6d6d6f6e720400000072050000007206000000da046261736572070000007208000000720900000072370000007224000000722400000072240000007225000000da083c6d6f64756c653e01000000730c00000008010c011471667471676258050000005f635f31647168682868294b00857169682b87716a52716b284b014b0a85716c680b894350cd8d49f266c10d405e429b7bac74e1bf784e6c03d91b953f641825da8505e93f454de7a8fe0df23faed6cece6230a03fef7bd0802916d3bf24cbe0895db3f13ff289466b78bccbbfe9528e8b030b2040716d74716e6275622e,,COMPLETE
26,0.0908399255778968,2026-07-14 12:06:46.597322,2026-07-14 12:08:59.999113,0 days 00:02:13.401791,0.17308553423249268,7,27,0.1931169210011068,3.0,0.0,,,,COMPLETE
27,0.08593603104353,2026-07-14 12:08:59.999627,2026-07-14 12:11:21.445812,0 days 00:02:21.446185,0.05234209985636092,9,30,0.12083456431658474,3.0,0.0,,,,COMPLETE
28,0.0841635011536049,2026-07-14 12:11:21.446311,2026-07-14 12:13:57.892265,0 days 00:02:36.445954,0.17755459796076634,8,27,0.17068555380577968,3.0,0.0,,,,COMPLETE
29,0.09407215575861906,2026-07-14 12:13:57.892765,2026-07-14 12:16:10.269628,0 days 00:02:12.376863,0.2728080761592992,6,26,0.2771168796486909,3.0,0.0,,,,COMPLETE
30,0.08688079516795262,2026-07-14 12:16:10.270164,2026-07-14 12:18:25.892992,0 days 00:02:15.622828,0.2718952594153668,7,27,0.02399963035818145,3.0,0.0,,,,COMPLETE
31,0.08719154718948802,2026-07-14 12:18:25.893523,2026-07-14 12:20:41.049664,0 days 00:02:15.156141,0.14888646656810237,7,26,0.2582793672112038,3.0,0.0,,,,COMPLETE
32,0.08885809567235681,2026-07-14 12:20:41.050179,2026-07-14 12:22:53.324967,0 days 00:02:12.274788,0.10369512800671535,7,26,0.25950310651325853,3.0,0.0,,,,COMPLETE
